model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
29,1,0.750630004,0.75172391,0.750630004,0.89971785,0.831229377,0.668569227,0.792889128,0.864620724
30,1,0.769550992,0.769947684,0.769550992,0.912063488,1,1,1,0
31,1,0.749474417,0.75169829,0.749474417,0.897386717,0.828829441,0.663092479,0.788965881,0.881279983
32,1,0.764824226,0.764645942,0.764824226,0.909847362,1,1,1,0
33,1,0.742380787,0.744578032,0.742380787,0.896165319,0.825571976,0.658026896,0.786785814,0.904078793
34,1,0.76127393,0.76160218,0.76127393,0.908953466,1,1,1,0
35,1,0.743578141,0.745510296,0.743578141,0.894303637,0.819577693,0.643344783,0.776120609,0.920061006
36,1,0.75892795,0.760271006,0.75892795,0.907995044,1,1,1,0
37,1,0.742401671,0.74449407,0.742401671,0.892624696,0.817935843,0.641332087,0.776074381,0.931479727
38,1,0.756568047,0.757508054,0.756568047,0.906948625,1,1,1,0
39,1,0.740027846,0.742568195,0.740027846,0.892148991,0.82118999,0.647034571,0.778354607,0.944570499
40,1,0.754215106,0.755741033,0.754215106,0.906388501,1,1,1,0
41,1,0.734117647,0.735086896,0.734117647,0.889785563,0.816360463,0.636641023,0.772386903,0.965028238
42,1,0.753038636,0.754613837,0.753038636,0.904956706,1,1,1,0
43,1,0.73647755,0.738105285,0.73647755,0.887254121,0.811143712,0.624285986,0.764494566,0.978182856
44,1,0.745951967,0.747941941,0.745951967,0.903027584,1,1,1,0
45,1,0.73056039,0.732263234,0.73056039,0.885498148,0.819131502,0.639619311,0.774230428,0.985914537
46,1,0.75066481,0.752357469,0.75066481,0.901775123,1,1,1,0
47,1,0.732920292,0.735399976,0.732920292,0.884880246,0.815585317,0.632829506,0.769430116,1
48,1,0.74948834,0.751645704,0.74948834,0.901604827,1,1,1,0
49,1,0.905485555,0.907144524,0.905485555,0.92897865,1,1,1,0
50,1,0.905485555,0.907144524,0.905485555,0.92897865,1,1,1,0
51,1,0.883021232,0.894490286,0.883021232,0.963460499,0.967082867,0.931253793,0.956703988,0.108368632
52,1,0.905485555,0.907144524,0.905485555,0.966448449,1,1,1,0
53,1,0.900758789,0.904114754,0.900758789,0.970927494,0.976401005,0.949369044,0.968168565,0.181930873
54,1,0.912586147,0.914017696,0.912586147,0.973915871,1,1,1,0
55,1,0.891298295,0.898415558,0.891298295,0.976216142,0.957463809,0.913831237,0.945826425,0.241742071
56,1,0.905471632,0.907521624,0.905471632,0.980370879,1,1,1,0
57,1,0.904302123,0.90712872,0.904302123,0.978656408,0.959704339,0.918797037,0.94924317,0.285609824
58,1,0.906675949,0.909392262,0.906675949,0.982853632,1,1,1,0
59,1,0.888924469,0.897319025,0.888924469,0.979770816,0.943132344,0.887531822,0.929041818,0.311529117
60,1,0.91020536,0.91354244,0.91020536,0.983929848,1,1,1,0
61,1,0.89484859,0.897709697,0.89484859,0.977818575,0.953013307,0.904263649,0.939820376,0.339524891
62,1,0.899575357,0.902177891,0.899575357,0.982360146,1,1,1,0
63,1,0.877117995,0.882849884,0.877117995,0.975524561,0.935592101,0.872742775,0.919504455,0.367339875
64,1,0.899575357,0.902362121,0.899575357,0.980613209,1,1,1,0
65,1,0.883049078,0.886699138,0.883049078,0.974510843,0.936699095,0.874089816,0.920662978,0.403262099
66,1,0.894862513,0.897851866,0.894862513,0.979633829,1,1,1,0
67,1,0.864128089,0.868212437,0.864128089,0.973033959,0.928352583,0.860833879,0.912093705,0.427229228
68,1,0.887768883,0.890390034,0.887768883,0.978351492,1,1,1,0
69,1,0.873588583,0.877350123,0.873588583,0.971834474,0.923940551,0.851045725,0.906209404,0.451095692
70,1,0.883049078,0.886116872,0.883049078,0.977320748,1,1,1,0
71,1,0.854660634,0.859451783,0.854660634,0.968937118,0.917613914,0.838273889,0.89792988,0.468709539
72,1,0.879498782,0.881860072,0.879498782,0.975185022,1,1,1,0
73,1,0.857034459,0.859273823,0.857034459,0.967657815,0.92746852,0.856697153,0.909863596,0.492148089
74,1,0.877124957,0.879369794,0.877124957,0.974330189,1,1,1,0
75,1,0.838120432,0.842877729,0.838120432,0.965188504,0.908393722,0.822743085,0.888038757,0.514214542
76,1,0.866508876,0.868406965,0.866508876,0.972012553,1,1,1,0
77,1,0.840480334,0.843568948,0.840480334,0.962934722,0.914729931,0.833861668,0.895413818,0.532083391
