model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
99,1,0.964275437,0.965855639,0.964275437,0.968178702,0.983611317,0.9542401,0.978685976,0.318511942
100,1,0.948530319,0.950028586,0.948530319,0.968091423,1,1,1,0
101,1,0.961377184,0.962474768,0.961377184,0.97848479,0.981765558,0.956318493,0.980046655,0.400487626
102,1,0.961377184,0.962474768,0.961377184,0.978445325,1,1,1,0
103,1,0.964265159,0.965710723,0.964265159,0.979100845,0.980673174,0.953301036,0.978630978,0.497325632
104,1,0.959969168,0.961242976,0.959969168,0.978875487,1,1,1,0
105,1,0.962836588,0.964518673,0.962836588,0.985670205,0.976634721,0.949611726,0.977154157,0.519220262
106,1,0.962836588,0.964518673,0.962836588,0.985353176,1,1,1,0
107,1,0.967122302,0.968613587,0.967122302,0.988482665,0.979580671,0.950298157,0.977216454,0.540046301
108,1,0.959979445,0.961742323,0.959979445,0.988278018,1,1,1,0
109,1,0.961408016,0.963062053,0.961408016,0.988212922,0.976634721,0.949611726,0.977154157,0.557935748
110,1,0.961408016,0.963062053,0.961408016,0.988257556,1,1,1,0
111,1,0.962846865,0.964462672,0.962846865,0.98812415,0.978599673,0.950033136,0.977196177,0.590973785
112,1,0.961418294,0.963134926,0.961418294,0.988281354,1,1,1,0
113,1,0.958561151,0.960450694,0.958561151,0.988238218,0.970301446,0.936994759,0.971442697,0.622654382
114,1,0.958561151,0.960450694,0.958561151,0.988553093,1,1,1,0
115,1,0.958561151,0.960450694,0.958561151,0.988527767,0.971285033,0.93721065,0.971469266,0.644553711
116,1,0.958561151,0.960270206,0.958561151,0.988888557,1,1,1,0
117,1,0.959989723,0.961553811,0.959989723,0.988592863,0.967240574,0.933575741,0.969971765,0.66911886
118,1,0.959989723,0.961553811,0.959989723,0.98888681,1,1,1,0
119,1,0.961418294,0.96284313,0.961418294,0.991066772,0.973468132,0.943303243,0.974298427,0.694309803
120,1,0.958561151,0.960270206,0.958561151,0.991518578,1,1,1,0
121,1,0.95713258,0.958916183,0.95713258,0.990367836,0.967240574,0.933575741,0.969971765,0.689462787
122,1,0.95713258,0.958916183,0.95713258,0.990819643,1,1,1,0
123,1,0.961418294,0.9628549,0.961418294,0.990457106,0.970301446,0.936994759,0.971442697,0.71051193
124,1,0.959989723,0.961553811,0.959989723,0.990908912,1,1,1,0
125,1,0.958561151,0.960199787,0.958561151,0.990771514,0.967240574,0.933575741,0.969971765,0.730363443
126,1,0.958561151,0.960199787,0.958561151,0.99111097,1,1,1,0
127,1,0.958561151,0.960199787,0.958561151,0.990681371,0.970301446,0.936994759,0.971442697,0.736757044
128,1,0.958561151,0.960199787,0.958561151,0.991066117,1,1,1,0
129,1,0.958561151,0.960199787,0.958561151,0.990478222,0.966149759,0.930494647,0.968557059,0.739389883
130,1,0.958561151,0.960199787,0.958561151,0.990795251,1,1,1,0
131,1,0.958561151,0.960199787,0.958561151,0.990387861,0.966149759,0.930494647,0.968557059,0.751812118
132,1,0.958561151,0.960199787,0.958561151,0.990660692,1,1,1,0
133,1,0.95713258,0.958916183,0.95713258,0.990252865,0.966149759,0.930494647,0.968557059,0.756298961
134,1,0.95713258,0.958916183,0.95713258,0.9906829,1,1,1,0
135,1,0.95713258,0.958916183,0.95713258,0.990027289,0.966149759,0.930494647,0.968557059,0.769360746
136,1,0.95713258,0.958916183,0.95713258,0.990479532,1,1,1,0
137,1,0.955704008,0.957648894,0.955704008,0.990749743,0.963086691,0.927105986,0.967079589,0.772018354
138,1,0.95713258,0.958916183,0.95713258,0.990952892,1,1,1,0
