model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
2080,6,0.709781421,0.710962368,0.709781421,0.73710117,0.710318639,0.425076164,0.714700417,0.582541188
2081,6,0.709781421,0.710962368,0.709781421,0.737558121,0.710318639,0.425076164,0.714700417,0.583413925
2082,6,0.709781421,0.710962368,0.709781421,0.737558121,0.710318639,0.425076164,0.714700417,0.583413925
2083,6,0.709781421,0.710962368,0.709781421,0.737774571,0.710318639,0.425076164,0.714700417,0.584302665
2084,6,0.709781421,0.710962368,0.709781421,0.737774571,0.710318639,0.425076164,0.714700417,0.584302665
2085,6,0.709781421,0.710962368,0.709781421,0.737558121,0.713944512,0.431914283,0.718174313,0.585209303
2086,6,0.709781421,0.710962368,0.709781421,0.737558121,0.713944512,0.431914283,0.718174313,0.585209303
2087,6,0.709781421,0.710962368,0.709781421,0.737999038,0.713944512,0.431914283,0.718174313,0.586135745
2088,6,0.709781421,0.710962368,0.709781421,0.737999038,0.713944512,0.431914283,0.718174313,0.586135745
2089,6,0.709781421,0.710962368,0.709781421,0.738215488,0.717570212,0.438757248,0.721638108,0.587083922
2090,6,0.709781421,0.710962368,0.709781421,0.738215488,0.717570212,0.438757248,0.721638108,0.587083922
2091,6,0.709781421,0.710962368,0.709781421,0.738648389,0.717570212,0.438757248,0.721638108,0.588055803
2092,6,0.709781421,0.710962368,0.709781421,0.738648389,0.717570212,0.438757248,0.721638108,0.588055803
2093,6,0.709781421,0.710962368,0.709781421,0.738648389,0.717570212,0.438757248,0.721638108,0.589053408
2094,6,0.709781421,0.710962368,0.709781421,0.738648389,0.717570212,0.438757248,0.721638108,0.589053408
2095,6,0.709781421,0.710962368,0.709781421,0.738431938,0.714541738,0.43220324,0.71846777,0.590078824
2096,6,0.709781421,0.710962368,0.709781421,0.738431938,0.714541738,0.43220324,0.71846777,0.590078824
2097,6,0.709781421,0.710962368,0.709781421,0.738215488,0.714541738,0.43220324,0.71846777,0.591134216
2098,6,0.709781421,0.710962368,0.709781421,0.738215488,0.714541738,0.43220324,0.71846777,0.591134216
2099,6,0.706448087,0.70730359,0.706448087,0.738439955,0.710916158,0.425340814,0.715010444,0.592221846
2100,6,0.706448087,0.70730359,0.706448087,0.738439955,0.710916158,0.425340814,0.715010444,0.592221846
2101,6,0.706448087,0.70730359,0.706448087,0.738439955,0.710916158,0.425340814,0.715010444,0.593344087
2102,6,0.706448087,0.70730359,0.706448087,0.738439955,0.710916158,0.425340814,0.715010444,0.593344087
2103,6,0.706448087,0.70730359,0.706448087,0.737991021,0.710916158,0.425340814,0.715010444,0.594503439
2104,6,0.706448087,0.70730359,0.706448087,0.737991021,0.710916158,0.425340814,0.715010444,0.594503439
2105,6,0.706448087,0.70730359,0.706448087,0.736900754,0.710916158,0.425340814,0.715010444,0.595702551
2106,6,0.706448087,0.70730359,0.706448087,0.736900754,0.710916158,0.425340814,0.715010444,0.595702551
2107,6,0.706448087,0.70730359,0.706448087,0.737141254,0.710916158,0.425340814,0.715010444,0.596944237
2108,6,0.706448087,0.70730359,0.706448087,0.737141254,0.710916158,0.425340814,0.715010444,0.596944237
2109,6,0.706448087,0.707358986,0.706448087,0.737365721,0.707290407,0.418483451,0.71154312,0.598231503
2110,6,0.706448087,0.707358986,0.706448087,0.737365721,0.707290407,0.418483451,0.71154312,0.598231503
2111,6,0.706448087,0.707358986,0.706448087,0.736924804,0.707290407,0.418483451,0.71154312,0.599567568
2112,6,0.706448087,0.707358986,0.706448087,0.736924804,0.707290407,0.418483451,0.71154312,0.599567568
2113,6,0.703169399,0.703595865,0.703169399,0.737357704,0.707290407,0.418483451,0.71154312,0.600955893
2114,6,0.703169399,0.703595865,0.703169399,0.737357704,0.707290407,0.418483451,0.71154312,0.600955893
2115,6,0.703169399,0.703595865,0.703169399,0.737566138,0.707290407,0.418483451,0.71154312,0.602400213
2116,6,0.703169399,0.703595865,0.703169399,0.737566138,0.707290407,0.418483451,0.71154312,0.602400213
2117,6,0.703169399,0.703595865,0.703169399,0.737566138,0.707290407,0.418483451,0.71154312,0.603904568
2118,6,0.703169399,0.703595865,0.703169399,0.737566138,0.707290407,0.418483451,0.71154312,0.603904568
2119,6,0.703169399,0.703595865,0.703169399,0.738015071,0.70426209,0.41192438,0.70838278,0.605473345
2120,6,0.703169399,0.703595865,0.703169399,0.738015071,0.70426209,0.41192438,0.70838278,0.605473345
2121,6,0.703169399,0.703595865,0.703169399,0.738231522,0.70426209,0.41192438,0.70838278,0.607111324
2122,6,0.703169399,0.703595865,0.703169399,0.738231522,0.70426209,0.41192438,0.70838278,0.607111324
2123,6,0.703169399,0.703377431,0.703169399,0.738223505,0.70426209,0.41192438,0.70838278,0.608823722
2124,6,0.703169399,0.703377431,0.703169399,0.738223505,0.70426209,0.41192438,0.70838278,0.608823722
2125,6,0.703169399,0.703377431,0.703169399,0.737558121,0.70426209,0.41192438,0.70838278,0.610616258
2126,6,0.703169399,0.703377431,0.703169399,0.737558121,0.70426209,0.41192438,0.70838278,0.610616258
2127,6,0.703169399,0.703377431,0.703169399,0.738215488,0.70426209,0.41192438,0.70838278,0.612495213
2128,6,0.703169399,0.703377431,0.703169399,0.738215488,0.70426209,0.41192438,0.70838278,0.612495213
2129,6,0.69989071,0.699811044,0.69989071,0.738640372,0.70426209,0.41192438,0.70838278,0.614467509
2130,6,0.69989071,0.699811044,0.69989071,0.738640372,0.70426209,0.41192438,0.70838278,0.614467509
2131,6,0.696557377,0.696269378,0.696557377,0.738872856,0.700636287,0.405052619,0.704911928,0.616540795
2132,6,0.696557377,0.696269378,0.696557377,0.738872856,0.700636287,0.405052619,0.704911928,0.616540795
2133,6,0.696557377,0.696269378,0.696557377,0.739746673,0.700636287,0.405052619,0.704911928,0.618723549
2134,6,0.696557377,0.696269378,0.696557377,0.739746673,0.700636287,0.405052619,0.704911928,0.618723549
2135,6,0.696557377,0.696269378,0.696557377,0.739321789,0.700636287,0.405052619,0.704911928,0.621025193
2136,6,0.696557377,0.696269378,0.696557377,0.739321789,0.700636287,0.405052619,0.704911928,0.621025193
2137,6,0.693278689,0.692925699,0.693278689,0.739105339,0.700636287,0.405052619,0.704911928,0.623456236
2138,6,0.693278689,0.692925699,0.693278689,0.739105339,0.700636287,0.405052619,0.704911928,0.623456236
2139,6,0.693278689,0.692925699,0.693278689,0.739313773,0.700636287,0.405052619,0.704911928,0.626028428
2140,6,0.693278689,0.692925699,0.693278689,0.739313773,0.700636287,0.405052619,0.704911928,0.626028428
2141,6,0.696557377,0.696271283,0.696557377,0.738656405,0.700636287,0.405052619,0.704911928,0.628754953
2142,6,0.696557377,0.696271283,0.696557377,0.738656405,0.700636287,0.405052619,0.704911928,0.628754953
2143,6,0.696557377,0.696271283,0.696557377,0.738215488,0.697010308,0.398184405,0.701430669,0.631650649
2144,6,0.696557377,0.696271283,0.696557377,0.738215488,0.697010308,0.398184405,0.701430669,0.631650649
2145,6,0.696557377,0.696271283,0.696557377,0.737566138,0.693384149,0.391318863,0.697938747,0.634732275
2146,6,0.696557377,0.696271283,0.696557377,0.737566138,0.693384149,0.391318863,0.697938747,0.634732275
2147,6,0.703169399,0.702846249,0.703169399,0.737341671,0.693384149,0.391318863,0.697938747,0.638018822
2148,6,0.703169399,0.702846249,0.703169399,0.737341671,0.693384149,0.391318863,0.697938747,0.638018822
2149,6,0.703169399,0.702846249,0.703169399,0.737341671,0.696412096,0.397933059,0.701078598,0.641531894
2150,6,0.703169399,0.702846249,0.703169399,0.737341671,0.696412096,0.397933059,0.701078598,0.641531894
