model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
2374,7,0.707079195,0.739315821,0.707079195,0.810119497,0.739827071,0.458405369,0.733991107,0.104695285
2375,7,0.707079195,0.739315821,0.707079195,0.810119497,0.739827071,0.458405369,0.733991107,0.104695285
2376,7,0.707079195,0.739315821,0.707079195,0.810119497,0.739827071,0.458405369,0.733991107,0.104695285
2377,7,0.701875902,0.737019889,0.701875902,0.810043326,0.739672763,0.4579289,0.732776858,0.116668905
2378,7,0.701875902,0.737019889,0.701875902,0.810043326,0.739672763,0.4579289,0.732776858,0.116668905
2379,7,0.701875902,0.737019889,0.701875902,0.810043326,0.739672763,0.4579289,0.732776858,0.116668905
2380,7,0.701875902,0.737019889,0.701875902,0.810043326,0.739672763,0.4579289,0.732776858,0.116668905
2381,7,0.701875902,0.737019889,0.701875902,0.810043326,0.739672763,0.4579289,0.732776858,0.116668905
2382,7,0.701892878,0.740878031,0.701892878,0.810307477,0.73649776,0.451593128,0.727779962,0.130537435
2383,7,0.701892878,0.740878031,0.701892878,0.810307477,0.73649776,0.451593128,0.727779962,0.130537435
2384,7,0.701892878,0.740878031,0.701892878,0.810307477,0.73649776,0.451593128,0.727779962,0.130537435
2385,7,0.701892878,0.740878031,0.701892878,0.810307477,0.73649776,0.451593128,0.727779962,0.130537435
2386,7,0.701892878,0.740878031,0.701892878,0.810307477,0.73649776,0.451593128,0.727779962,0.130537435
2387,7,0.700594177,0.741136488,0.700594177,0.810193571,0.734323907,0.447315285,0.724015574,0.146757594
2388,7,0.700594177,0.741136488,0.700594177,0.810193571,0.734323907,0.447315285,0.724015574,0.146757594
2389,7,0.700594177,0.741136488,0.700594177,0.810193571,0.734323907,0.447315285,0.724015574,0.146757594
2390,7,0.700594177,0.741136488,0.700594177,0.810193571,0.734323907,0.447315285,0.724015574,0.146757594
2391,7,0.700594177,0.741136488,0.700594177,0.810193571,0.734323907,0.447315285,0.724015574,0.146757594
2392,7,0.699303964,0.741339643,0.699303964,0.810304682,0.738873419,0.455971983,0.726582959,0.165341689
2393,7,0.699303964,0.741339643,0.699303964,0.810304682,0.738873419,0.455971983,0.726582959,0.165341689
2394,7,0.699303964,0.741339643,0.699303964,0.810304682,0.738873419,0.455971983,0.726582959,0.165341689
2395,7,0.699303964,0.741339643,0.699303964,0.810304682,0.738873419,0.455971983,0.726582959,0.165341689
2396,7,0.699303964,0.741339643,0.699303964,0.810304682,0.738873419,0.455971983,0.726582959,0.165341689
2397,7,0.700602665,0.744359072,0.700602665,0.81019427,0.736690387,0.451833114,0.722776162,0.18758847
2398,7,0.700602665,0.744359072,0.700602665,0.81019427,0.736690387,0.451833114,0.722776162,0.18758847
2399,7,0.700602665,0.744359072,0.700602665,0.81019427,0.736690387,0.451833114,0.722776162,0.18758847
2400,7,0.700602665,0.744359072,0.700602665,0.81019427,0.736690387,0.451833114,0.722776162,0.18758847
2401,7,0.700602665,0.744359072,0.700602665,0.81019427,0.736690387,0.451833114,0.722776162,0.18758847
2402,7,0.701909855,0.748494799,0.701909855,0.810234801,0.738371529,0.455134074,0.722765495,0.214389779
2403,7,0.701909855,0.748494799,0.701909855,0.810234801,0.738371529,0.455134074,0.722765495,0.214389779
2404,7,0.701909855,0.748494799,0.701909855,0.810234801,0.738371529,0.455134074,0.722765495,0.214389779
2405,7,0.701909855,0.748494799,0.701909855,0.810234801,0.738371529,0.455134074,0.722765495,0.214389779
2406,7,0.701909855,0.748494799,0.701909855,0.810234801,0.738371529,0.455134074,0.722765495,0.214389779
2407,7,0.697996775,0.746167586,0.697996775,0.810016772,0.734331518,0.447556285,0.717652157,0.24665735
2408,7,0.697996775,0.746167586,0.697996775,0.810016772,0.734331518,0.447556285,0.717652157,0.24665735
2409,7,0.697996775,0.746167586,0.697996775,0.810016772,0.734331518,0.447556285,0.717652157,0.24665735
2410,7,0.697996775,0.746167586,0.697996775,0.810016772,0.734331518,0.447556285,0.717652157,0.24665735
2411,7,0.697996775,0.746167586,0.697996775,0.810016772,0.734331518,0.447556285,0.717652157,0.24665735
2412,7,0.697988286,0.74718642,0.697988286,0.809865828,0.733321135,0.44566914,0.716371233,0.286174412
2413,7,0.697988286,0.74718642,0.697988286,0.809865828,0.733321135,0.44566914,0.716371233,0.286174412
2414,7,0.697988286,0.74718642,0.697988286,0.809865828,0.733321135,0.44566914,0.716371233,0.286174412
2415,7,0.697988286,0.74718642,0.697988286,0.809865828,0.733321135,0.44566914,0.716371233,0.286174412
2416,7,0.697988286,0.74718642,0.697988286,0.809865828,0.733321135,0.44566914,0.716371233,0.286174412
2417,7,0.697988286,0.749537654,0.697988286,0.810543676,0.731960272,0.443471142,0.712463541,0.336539454
2418,7,0.697988286,0.749537654,0.697988286,0.810543676,0.731960272,0.443471142,0.712463541,0.336539454
2419,7,0.697988286,0.749537654,0.697988286,0.810543676,0.731960272,0.443471142,0.712463541,0.336539454
2420,7,0.697988286,0.749537654,0.697988286,0.810543676,0.731960272,0.443471142,0.712463541,0.336539454
2421,7,0.697988286,0.749537654,0.697988286,0.810543676,0.731960272,0.443471142,0.712463541,0.336539454
2422,7,0.695382395,0.748213268,0.695382395,0.811085954,0.73362767,0.446968551,0.712389338,0.400131183
2423,7,0.695382395,0.748213268,0.695382395,0.811085954,0.73362767,0.446968551,0.712389338,0.400131183
2424,7,0.695382395,0.748213268,0.695382395,0.811085954,0.73362767,0.446968551,0.712389338,0.400131183
2425,7,0.695382395,0.748213268,0.695382395,0.811085954,0.73362767,0.446968551,0.712389338,0.400131183
2426,7,0.695382395,0.748213268,0.695382395,0.811085954,0.73362767,0.446968551,0.712389338,0.400131183
2427,7,0.692776505,0.747821333,0.692776505,0.810621943,0.732615124,0.445115861,0.711095635,0.479233185
2428,7,0.692776505,0.747821333,0.692776505,0.810621943,0.732615124,0.445115861,0.711095635,0.479233185
2429,7,0.692776505,0.747821333,0.692776505,0.810621943,0.732615124,0.445115861,0.711095635,0.479233185
2430,7,0.692776505,0.747821333,0.692776505,0.810621943,0.732615124,0.445115861,0.711095635,0.479233185
2431,7,0.692776505,0.747821333,0.692776505,0.810621943,0.732615124,0.445115861,0.711095635,0.479233185
2432,7,0.694066718,0.749809292,0.694066718,0.811091894,0.731602419,0.443265726,0.709800761,0.596945913
